text,href
Skip directly to site content,#content
Skip directly to search,#cdc-search
Skip directly to On This Page,#first-on-this-page
Here's how you know,#gov-notice
,https://www.cdc.gov
Obesity,/obesity/index.html
Search,#
For Everyone,/obesity/index.html
About Obesity,/obesity/php/about/index.html
Risk Factors for Obesity,/obesity/risk-factors/risk-factors.html
What Can Be Done,/obesity/strategies/obesity-strategies-what-can-be-done.html
Obesity Data and Statistics,/obesity/data-and-statistics/index.html
View all,/obesity/site.html#gen
Health Care Providers,/obesity/site.html#hcp
Health Care Strategies,/obesity/hcp/obesity-strategies/index.html
Screening for Child Obesity,/obesity/child-obesity-screening/index.html
Evaluation and Treatment,/obesity/child-obesity-strategies/evaluation-and-treatment.html
View all,/obesity/site.html#hcp
About Healthy Weight and Growth,/healthy-weight-growth/about/index.html
Body Mass Index (BMI),/healthyweight/assessing/bmi/index.html
About Nutrition,/nutrition/php/about/index.html
About Physical Activity,/physical-activity/php/about/index.html
View All,/obesity/site.html
,https://www.cdc.gov
searchclose search,#
Obesity,/obesity/index.html
Menu,#
About Obesity,/obesity/php/about/index.html
Risk Factors for Obesity,/obesity/risk-factors/risk-factors.html
What Can Be Done,/obesity/strategies/obesity-strategies-what-can-be-done.html
Obesity Data and Statistics,/obesity/data-and-statistics/index.html
View All,/obesity/site.html#gen
Home,/obesity/index.html
Health Care Strategies,/obesity/hcp/obesity-strategies/index.html
Screening for Child Obesity,/obesity/child-obesity-screening/index.html
Evaluation and Treatment,/obesity/child-obesity-strategies/evaluation-and-treatment.html
View All,/obesity/site.html#hcp
About Healthy Weight and Growth,/healthy-weight-growth/about/index.html
Body Mass Index (BMI),/healthyweight/assessing/bmi/index.html
About Nutrition,/nutrition/php/about/index.html
About Physical Activity,/physical-activity/php/about/index.html
View AllObesity,/obesity/site.html
About Obesity,/obesity/php/about/index.html
Risk Factors for Obesity,/obesity/risk-factors/risk-factors.html
What Can Be Done,/obesity/strategies/obesity-strategies-what-can-be-done.html
Obesity Data and Statistics,/obesity/data-and-statistics/index.html
View All,/obesity/site.html
,
body mass index (BMI),/bmi/adult-calculator/bmi-categories.html
Behavioral Risk Factor Surveillance System,https://www.cdc.gov/brfss/
adult BMI categories,/bmi/adult-calculator/bmi-categories.html#cdc_generic_section_1-bmi-categories-for-adults
Media statement,/media/releases/2024/p0912-adult-obesity.html
What can be done,/obesity/php/about/obesity-strategies-what-can-be-done.html
,
,
,
,
Behavioral Risk Factor Surveillance System,https://www.cdc.gov/brfss/
,
Previous,
1,
2,
3,
4,
5,
6,
Next,
Download CSV file,/obesity/media/files/2024/09/2023-Obesity-by-demographic.csv
,
Behavioral Risk Factor Surveillance System,https://www.cdc.gov/brfss/
,
Previous,
1,
2,
3,
4,
5,
6,
Next,
Download CSV file,/obesity/media/files/2024/09/2023-Asian.csv
,
Behavioral Risk Factor Surveillance System,https://www.cdc.gov/brfss/
,
Previous,
1,
2,
3,
4,
5,
6,
Next,
Download CSV file,/obesity/media/files/2024/09/2023-White.csv
,
Behavioral Risk Factor Surveillance System,https://www.cdc.gov/brfss/
,
Previous,
1,
2,
3,
4,
5,
6,
Next,
Download CSV File,/obesity/media/files/2024/09/2023-AmericanIndian-AlaskaNative.csv
,
Behavioral Risk Factor Surveillance System,https://www.cdc.gov/brfss/
,
Previous,
1,
2,
3,
4,
5,
6,
Next,
Download CSV File,/obesity/media/files/2024/09/2023-Hispanic.csv
,
Behavioral Risk Factor Surveillance System,https://www.cdc.gov/brfss/
,
Previous,
1,
2,
3,
4,
5,
6,
Next,
Download CSV File,/obesity/media/files/2024/09/2023-Black.csv
,
Media Statement,/media/releases/2024/p0912-adult-obesity.html
PLACES: Local Data for Better Health,https://experience.arcgis.com/experience/71f8aedc21d147b78c09ce0f4d53913a/page/page_2/?views=view_26
"DNPAO Data, Trends, and Maps Database | Data, Trends, Maps | CDC",https://www.cdc.gov/dnpao-data-trends-maps/database/index.html
Health for All Resources | DNPAO Programs | CDC,https://www.cdc.gov/dnpao-state-local-programs/php/data-research/health-equity-resources.html
,
Powerpoint slides,/obesity/media/files/2024/09/overall-obesity-prevalence-map-2011-2023-508.pptx
PDF,/obesity/media/pdfs/2024/09/overall-obesity-prevalence-map-2011-2023-508.pdf
Powerpoint slides,/obesity/media/files/2024/09/obesity-prevalence-map-race-ethnicity-2021-2023-508.pptx
PDF,/obesity/media/pdfs/2024/09/obesity-prevalence-map-race-ethnicity-2021-2023-508.pdf
,
Adult Obesity Prevalence Maps,/obesity/data-and-statistics/adult-obesity-prevalence-maps.html
Overview,#cdc_data_surveillance_section_1-overview
Across states and territories,#cdc_data_surveillance_section_4-across-states-and-territories
By race and ethnicity,#cdc_data_surveillance_section_2-by-race-and-ethnicity
By education level and age,#cdc_data_surveillance_section_3-by-education-level-and-age
Map: Overall Obesity,#cdc_data_surveillance_section_5-map-overall-obesity
Map: Non-Hispanic Asian Adults,#cdc_data_surveillance_section_6-map-non-hispanic-asian-adults
Map: Non-Hispanic White Adults,#cdc_data_surveillance_section_8-map-non-hispanic-white-adults
Map: Non-Hispanic American Indian or Alaska Native Adults,#cdc_data_surveillance_section_10-map-non-hispanic-american-indian-or-alaska-native-adults
Map: Hispanic Adults,#cdc_data_surveillance_section_9-map-hispanic-adults
Map: Non-Hispanic Black Adults,#cdc_data_surveillance_section_11-map-non-hispanic-black-adults
Related Information,#cdc_data_surveillance_section_12-related-information
